DATE	Puits	ACTIVITE	SOUS ACTIVITE	Heure de fermeture	Heure d'ouverture	Débit initail 	Débit après trvx 	Observation
09/10/2023	LNB712-CE	CTU	Clean Out	9:15	10:45	1167	1320	
10/10/2023	LNB627-CE	CTU	Clean Out	11:35	12:25	760	988	
10/10/2023	LNB136-CE	POMPAGE	Bullheading Pour Nettoyage	13:50	17:00	799	1053	
10/10/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	8:25	9:05	1322	1247	
11/10/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	9:10	10:05	1040	981	
14/10/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	13:25	14:40	671	606	Négatif 
15/10/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	10:50	11:50	890	938	En vue Clean Out
15/10/2023	LNB234-CE	CTU	Clean Out	9:30	11:50	490	481	
16/10/2023	LNB136-CE	CTU	Clean Out	10:40	11:45	840	1245	
17/10/2023	LNB627-CE	CTU	Clean Out	9:45	10:20	670	1013	
17/10/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:10	9:10	1098	1101	En vue Clean Out
18/10/2023	LNB712-CE	CTU	Clean Out	11:45	12:40	975	1322	
18/10/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	10:20	11:00	950	950	
19/10/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:10	9:35	1319	1245	
20/10/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	8:10	8:45	1060	1090	En vue Clean Out
21/10/2023	LNB136-CE	POMPAGE	Bullheading Pour Nettoyage	13:25	17:05	786	1060	
21/10/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	8:25	9:05	652	649	En vue Clean Out
21/10/2023	LNB234-CE	CTU	Clean Out	12:10	13:25	649	859	
23/10/2023	LNB547-CE	CTU	Clean Out	10:30	11:50	985	1031	
24/10/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	7:50	8:30	702	738	En vue Clean Out
24/10/2023	LNB627-CE	CTU	Clean Out	15:40	16:45	738	1025	
24/10/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	9:20	10:00	1073	1079	
25/10/2023	LNB234-CE	CTU	Clean Out	9:30	10:40	585	595	
25/10/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	15:25	15:55	595	732	
25/10/2023	LNB234-CE	DEGORGEMENT		17:10	17:55	732	879	
25/10/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	8:30	9:10	1037	955	
26/10/2023	LNB136-CE	CTU	Clean Out	16:45	17:45	1088	1221	
26/10/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	8:45	9:45	917	865	
27/10/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:40	9:10	906	948	
27/10/2023	LNB712-CE	CTU	Clean Out	16:20	17:20	906	1316	
28/10/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	11:50	12:30	1164	1151	
29/10/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	8:30	9:35	729	740	
29/10/2023	LNB234-CE	CTU	Clean Out	16:35	17:40	740	921	
30/10/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:05	8:50	710	766	
30/10/2023	LNB627-CE	CTU	Clean Out	17:20	18:55	766	1143	
30/10/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	19:00	20:10	1115	1045	Négatif
31/10/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	8:00	8:40	1062	1081	
31/10/2023	LNB547-CE	CTU	Clean Out	13:45	14:25	1081	1173	
01/11/2023	LNB136-CE	CTU	Clean Out	11:20	13:00	831	1042	
01/11/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	15:15	17:30	1042	1077	Négatif
02/11/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	10:25	11:00	1283	1196	
03/11/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	11:55	12:40	1048	995	
04/11/2023	LNB627-CE	CTU	Clean Out	13:20	14:00	854	1090	
05/11/2023	LNB234-CE	CTU	Clean Out	10:35	11:35	738	920	
06/11/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	9:40	10:30	908	862	
06/11/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	8:20	9:05	592	611	
06/11/2023	LNB547-CE	CTU	Clean Out	12:20	14:00	611	979	
07/11/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	9:05	9:35	984	1026	
08/11/2023	LNB136-CE	CTU	Clean Out	11:30	13:20	809	795	
08/11/2023	LNB234-CE	CTU	Clean Out	10:00	12:15	679	480	
08/11/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	14:15	15:15	480	548	
08/11/2023	LNB234-CE	DEGORGEMENT		17:30	18:05	548	713	
09/11/2023	LNB136-CE	CTU	Clean Out	9:50	12:35	763	1027	
09/11/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	14:35	15:55	1027	1032	Négatif 
09/11/2023	LNB712-CE	CTU	Clean Out	11:00	12:25	775	1316	
10/11/2023	LNB627-CE	CTU	Clean Out	13:25	13:50	753	1019	
10/11/2023	LNB547-CE	CTU	Clean Out	10:00	12:10	625	1048	
14/11/2023	LNB234-CE	CTU	Clean Out	10:20	11:05	747	946	
16/11/2023	LNB627-CE	CTU	Clean Out	11:30	12:40	754	961	
16/11/2023	LNB547-CE	CTU	Clean Out	10:20	11:20	345	990	
16/11/2023	LNB547-CE	MAINTENANCE SURFACE	Intervention Sur Installation De Surface	15:50	16:40	990	898	Changement vanne de torche 
18/11/2023	LNB136-CE	CTU	Clean Out	12:15	14:40	740	986	
18/11/2023	LNB627-CE	MAINTENANCE SURFACE	Graissage Des Vannes					
19/11/2023	LNB712-CE	CTU	Clean Out	11:25	12:30	913	1298	
20/11/2023	LNB136-CE	MAINTENANCE SURFACE	Intervention Sur Installation De Surface	8:50	13:10	1208	1215	Mise en place joint isolant 
20/11/2023	LNB136-CE	SLICKLINE	PFS			1208	1215	
20/11/2023	LNB547-CE	DECLENCHEMENT	Sécurité De Fond 	22:45	23:45	680	680	
21/11/2023	LNB627-CE	CTU	Clean Out	17:35	21:40	736	1064	
22/11/2023	LNB547-CE	MAINTENANCE SURFACE	Intervention Sur Installation De Surface	7:00	11:00	650	790	
22/11/2023	LNB547-CE	CTU	Clean Out	7:00	11:00	650	790	
22/11/2023	LNB627-CE	DECLENCHEMENT	Sécurité De Surface 	4:30	5:20	1066	1108	
22/11/2023	LNB627-CE	DECLENCHEMENT	Sécurité De Surface 	5:50	7:40	1108	1115	
22/11/2023	LNB627-CE	DECLENCHEMENT	Sécurité De Surface 	13:30	15:50	1113	1115	
23/11/2023	LNB234-CE	CTU	Clean Out	10:50	12:30	559	688	
26/11/2023	LNB136-CE	CTU	Clean Out	9:30	10:45	722	1038	
26/11/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	14:10	15:30	1038	1156	Négatif
26/11/2023	LNB627-CE	CTU	Clean Out	16:15	17:00	910	1039	
27/11/2023	LNB712-CE	CTU	Clean Out	13:45	14:20	773	1321	
28/11/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:55	10:30	1316	1230	
30/11/2023	LNB234-CE	CTU	Clean Out	17:30	18:00	575	916	
30/11/2023	LNB547-CE	CTU	Clean Out	10:50	13:30	240	995	
01/12/2023	LNB627-CE	CTU	Clean Out	11:40	12:35	749	1029	
03/12/2023	LNB136-CE	CTU	Clean Out	11:10	11:50	920	1182	
03/12/2023	LNB547-CE	SLICKLINE	Fishing	13:30	15:20	790	815	
04/12/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	8:35	11:40	1355	1209	Négatif
04/12/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	9:30	10:15	1210	1282	En vue Clean Out
04/12/2023	LNB547-CE	SLICKLINE	Fishing	13:25	16:25	779	778	
05/12/2023	LNB627-CE	CTU	Clean Out	12:00	12:35	839	1040	
07/12/2023	LNB547-CE	CTU	Clean Out	11:35	12:30	790	1027	
08/12/2023	LNB712-CE	CTU	Clean Out	10:20	11:05	750	1320	
08/12/2023	LNB234-CE	CTU	Clean Out	10:45	11:45	666	964	
08/12/2023	LNB234-CE	E-LINE	Log De Saturation 	16:15	22:00	964	957	RPM
09/12/2023	LNB627-CE	CTU	Clean Out	9:30	10:45	763	1070	
09/12/2023	LNB136-CE	CTU	Clean Out	15:05	15:45	808	1120	
12/12/2023	LNB547-CE	CTU	Clean Out	10:00	11:15	755	1020	
13/12/2023	LNB627-CE	CTU	Clean Out	9:30	11:30	779	994	
14/12/2023	LNB136-CE	CTU	Clean Out	17:10	18:05	847	1039	
14/12/2023	LNB234-CE	CTU	Clean Out	10:00	10:50	744	948	
16/12/2023	LNB712-CE	CTU	Clean Out	13:00	14:00	1127	1296	
16/12/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	10:20	11:00	1006	945	
17/12/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	10:45	11:10	900	792	En vue Clean Out
17/12/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	14:50	15:30	1292	1225	
18/12/2023	LNB627-CE	CTU	Clean Out	11:50	12:50	767	1015	
18/12/2023	LNB547-CE	CTU	Clean Out	10:30	12:35	798	1117	
20/12/2023	LNB136-CE	CTU	Clean Out	11:25	12:20	829	1150	
21/12/2023	LNB234-CE	CTU	Clean Out	16:00	17:35	757	930	
22/12/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	8:55	10:15	925	863	
23/12/2023	LNB627-CE	CTU	Clean Out	11:00	12:10	831	985	
24/12/2023	LNB547-CE	CTU	Clean Out	11:50	13:55	775	793	
25/12/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:00	8:35	868	893	
25/12/2023	LNB712-CE	CTU	Clean Out	12:05	12:50	893	1307	
26/12/2023	LNB547-CE	CTU	Clean Out	11:25	14:05	338	1100	
27/12/2023	LNB136-CE	CTU	Clean Out	12:00	13:45	955	966	
27/12/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	15:40	16:50	966	1130	
28/12/2023	LNB627-CE	CTU	Clean Out	15:15	16:20	793	1027	
29/12/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	8:10	9:50	740	712	En vue Clean Out
30/12/2023	LNB234-CE	CTU	Clean Out	10:10	10:50	693	931	
31/12/2023	LNB547-CE	CTU	Clean Out	11:00	13:30	743	1100	
